Name,x,y,h
 P1,381986.924,2043353.358,660.36
 P2,381985.045,2043338.147,660.558
 P3,381926.07,2043352.079,661.461
 P4,381922.213,2043331.905,660.661
 P5,381962.315,2043322.225,659.656
 P6,381959.618,2043309.527,659.608
 P7,382018.902,2043302.057,658.949
 P8,382020.287,2043309.78,658.973
 P9,382016.941,2043310.488,658.76
 P10,382021.362,2043331.426,658.937
 P11,382044.817,2043327.651,658.336
 P12,382047.285,2043343.812,659.043
 B1,381969.909,2043336.752,659.466
 B2,381929.656,2043346.359,660.98
 B3,381926.919,2043335.106,660.789
 B4,381967.23,2043325.478,659.497
 B5,381972.763,2043316.904,659.547
 B6,381971.855,2043311.184,659.182
 B7,381978.057,2043310.179,658.912
 B8,381978.951,2043315.896,659.448
 B9,381995.829,2043346.163,659.72
 B10,381990.283,2043310.638,658.839
 B11,382007.727,2043307.953,658.745
 B12,382013.253,2043343.447,659.591
 B13,382025.374,2043343.119,659.148
 B14,382044.058,2043340.177,658.736
 B15,382042.628,2043330.904,659.05
 B16,382023.9,2043333.805,659.172
